SNR_Target_dB, MSE_LS                , MSE_LMMSE             , Gain_dB
-5.0         , 0.01653676651762136   , 0.016304004807866927  , 0.06156299915046552
-5.0         , 0.14118494113199845   , 0.14172968236803082   , -0.01672436739474876
-5.0         , 0.07280980731352261   , 0.07206063063074242   , 0.044918232367441864
-5.0         , 0.017486415026004485  , 0.017526112502161264  , -0.009848133479730396
-5.0         , 0.12068385106232034   , 0.11960752248104935   , 0.03890665594341931
-5.0         , 0.005676168523436467  , 0.005532060371904173  , 0.1116837006608789
-5.0         , 0.1070304908031715    , 0.10597626224740413   , 0.04298918943069244
-5.0         , 0.0249044021196002    , 0.02509071226658184   , -0.03236870014594505
-5.0         , 0.023184575422840633  , 0.023160063843182265  , 0.00459394870671634
-5.0         , 0.025633049857456503  , 0.025141998579888036  , 0.08400484722734684
-5.0         , 0.1168203215114919    , 0.11650138875726707   , 0.011872947559545866
-5.0         , 0.06144077302689447   , 0.06120610120238316   , 0.016619551612564596
-5.0         , 0.13733223284746876   , 0.1341224365922282    , 0.1027104656708217
-5.0         , 0.009687013936497839  , 0.009301845393582926  , 0.17620807741234093
-5.0         , 0.02745767972079542   , 0.027302435401932782  , 0.02462446673282262
-5.0         , 0.027845467289669506  , 0.02645309068972786   , 0.2227808957935727
-5.0         , 0.024298499480628843  , 0.023466340481383224  , 0.15134087473835195
-5.0         , 0.02676806830366452   , 0.0260040937793692    , 0.12575308222308765
65
-5.0         , 0.04400014790555989   , 0.04375334818697648   , 0.02442843722186958
-5.0         , 0.16434952911009282   , 0.1643317509723425    , 0.0004698136218201924
-5.0         , 0.004416798428338754  , 0.0045589506692048955 , -0.13757313286207473
-5.0         , 0.1304922655902343    , 0.13022486685270632   , 0.008908492956150557
-5.0         , 0.006995152361736363  , 0.007007713179792203  , -0.007791398720204379
-5.0         , 0.6368481812162444    , 0.630152010609636     , 0.0459058655214556
-5.0         , 0.032164985472938924  , 0.0322079811404156    , -0.005801436500427336
-5.0         , 0.012429629328537558  , 0.012354707172658567  , 0.026257211270905124
-5.0         , 0.12011187557764084   , 0.11879950213515762   , 0.047713280343515185
-5.0         , 0.011111791149910982  , 0.010796325710170954  , 0.12508091941925176
-5.0         , 0.021110727697817938  , 0.021330251675847022  , -0.044927758010068666
-5.0         , 0.07792606269704007   , 0.07741184179671663   , 0.02875333177352352
-5.0         , 0.38098771793014463   , 0.3749911932996383    , 0.06889906953363148
-5.0         , 0.010936679442235392  , 0.010912684610132081  , 0.00953879237945998
-5.0         , 0.4641281359403691    , 0.45209270211095465   , 0.1141040010072914
-5.0         , 0.030833522146424763  , 0.030556981851856957  , 0.039126812284964
-5.0         , 0.194166146987241     , 0.19282711510345793   , 0.03005408806592251
-5.0         , 0.08638368516297339   , 0.08587363564442069   , 0.025718772093781116
-5.0         , 0.11046714289666099   , 0.11036363517240257   , 0.0040712474198464094
-5.0         , 0.05310358547332913   , 0.05289834424807035   , 0.01681766420840445
-5.0         , 0.11713573448318154   , 0.11464182140409594   , 0.09346327656199746
-5.0         , 0.0404126395784824    , 0.039465724848189034  , 0.10297133907808059
-5.0         , 0.18127050542729264   , 0.1785388740958862    , 0.06594353978680549
-5.0         , 0.1275228909039042    , 0.12655079655325663   , 0.03323266384859017
-5.0         , 0.09733890444719355   , 0.09676235936424842   , 0.02580004679678141
-5.0         , 0.0660219541192978    , 0.06594436738725923   , 0.005106680718379544
-5.0         , 0.05855882089452069   , 0.05818039591535618   , 0.02815651165461446
-5.0         , 0.03585689243487813   , 0.03528258657960357   , 0.07012232474633183
-5.0         , 0.10190527430294183   , 0.10151651241498456   , 0.0165997311290459
-5.0         , 0.03501653096651818   , 0.03482897069059551   , 0.023324791639819903
-5.0         , 0.03409626130686358   , 0.033758517637819056  , 0.04323392556776499
-5.0         , 0.03756017237911033   , 0.03609499739098099   , 0.1728056199732395
-5.0         , 0.25119436342479046   , 0.24663545637176107   , 0.07954378971834067
-5.0         , 0.38265433869697923   , 0.38063727661060587   , 0.022953245006630804
